阔步春天（邮费0.3）2026-02-02更新,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,82551261784103,,dec03807738343,,dec08807738350,,dec08807738336,,dec08807738367,,dec08807738329,,dec08807737179,,dec08807738350,,60705300935,,0010ECT00178519,,22555347591205,,60925053001,,0010ECT00194781
,2.7,,4.2,,4.2,,4.4,,4.8,,3.7,,4.5,,4.2,,4.5,,3.2,,3.1,,2.6,,3.7
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,32651391404801,,330554232125,,82753909633901,,dec20558595974,,jan1255024364403,,80555347551604,,dec19516931202,,81955347793004,,dec08807737179,,80555347595006,,12055346755903,,0010ECT00085973,,0010ECT00033766
,3.1,,4.6,,1.9,,4.7,,2.2,,3.1,,3.9,,3,,4.5,,2.9,,2.9,,3.7,,3.7
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,0010ECT00050906,,0010ECT00079619,,0010ECT00185760,,715550198647,,928092619202,,32854726016601,,0010ECT00033766,,110552567632,,0010ECT00171279,,0010ECT00192581,,714311063245,,317573017147,,71952341545001
,3.4,,4.3,,3.1,,3.5,,3.1,,3.5,,3.7,,3.3,,3.1,,4.5,,2.5,,4,,4.7
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,82551261784103,,82551261785803,,82551261786503,,82551261787203,,82551261790203,,82551261791903,,82551261808403,,,,,,,,,,,,
,2.7,,2.7,,2.7,,2.9,,2.7,,2.7,,2.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,82551261792603,,82551261796403,,82551261773503,,82551261774203,,82551261793303,,82551261794003,,82551261795703,,82551261787203,,2551261790203,,,,,,,,
,2.7,,2.7,,2.7,,2.7,,2.7,,3.2,,2.7,,2.9,,2.7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,dec3011011210,,805514323092,,308573017130,,0010ECT00157921,,0010ECT00183524,,605523416914,,0809025080701,,80951391505203,,124553475615,,124553475967,,081655347784804,,081151271426703,,dec03553475905
,3.1,,3.8,,3.8,,4.3,,3.8,,4.6,,4.4,,3.5,,3.1,,2.9,,2.9,,2.9,,3.9
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,81355347547904,,81655347590504,,0214R939,,0010ECT00123577,,0010ECT00194780,,60925053002,,60925053003,,60925053001,,60925053004,,82555347572104,,811807737391,,802514625271,,nov06230092296
,2.9,,2.9,,2.6,,4.3,,3.7,,2.6,,2.6,,2.6,,2.6,,2.9,,3.8,,3.6,,4.2
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,051255347770103,,40255347575204,,51255347588204,,41155347763304,,32055347574504,,32055810118203,,31355349999403,,31355347771803,,30755810117503,,82555052402603,,52752410037901,,813515843063,,0010ECT00193063
,2.9,,2.9,,2.9,,2.9,,2.9,,2.9,,2.9,,2.9,,2.9,,3.7,,4.1,,3.5,,3.7
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
